year,cpi
1976-01-01,-7.633947634
1976-02-01,-6.305496156833334
1976-03-01,-4.977044679666667
1976-04-01,-3.6485932025
1976-05-01,-2.3201417253333334
1976-06-01,-0.991690248166667
1976-07-01,0.3367612290000004
1976-08-01,1.6652127061666668
1976-09-01,2.9936641833333333
1976-10-01,4.3221156605
1976-11-01,5.650567137666666
1976-12-01,6.979018614833333
1977-01-01,8.307470092
1977-02-01,7.825434980750001
1977-03-01,7.343399869500001
1977-04-01,6.861364758250001
1977-05-01,6.3793296470000005
1977-06-01,5.89729453575
1977-07-01,5.4152594245
1977-08-01,4.93322431325
1977-09-01,4.451189202
1977-10-01,3.96915409075
1977-11-01,3.4871189795
1977-12-01,3.00508386825
1978-01-01,2.523048757
1978-02-01,2.8357683079166667
1978-03-01,3.1484878588333336
1978-04-01,3.46120740975
1978-05-01,3.7739269606666666
1978-06-01,4.086646511583334
1978-07-01,4.3993660625
1978-08-01,4.712085613416667
1978-09-01,5.024805164333333
1978-10-01,5.33752471525
1978-11-01,5.650244266166666
1978-12-01,5.962963817083333
1979-01-01,6.275683368
1979-02-01,6.698215877333333
1979-03-01,7.1207483866666665
1979-04-01,7.543280896
1979-05-01,7.965813405333333
1979-06-01,8.388345914666667
1979-07-01,8.810878424
1979-08-01,9.233410933333333
1979-09-01,9.655943442666667
1979-10-01,10.078475952
1979-11-01,10.501008461333333
1979-12-01,10.923540970666666
1980-01-01,11.34607348
1980-02-01,11.493279598333332
1980-03-01,11.640485716666666
1980-04-01,11.787691835
1980-05-01,11.934897953333333
1980-06-01,12.082104071666667
1980-07-01,12.22931019
1980-08-01,12.376516308333333
1980-09-01,12.523722426666666
1980-10-01,12.670928544999999
1980-11-01,12.818134663333334
1980-12-01,12.965340781666667
1981-01-01,13.1125469
1981-02-01,12.677396557833333
1981-03-01,12.242246215666666
1981-04-01,11.8070958735
1981-05-01,11.371945531333333
1981-06-01,10.936795189166666
1981-07-01,10.501644847
1981-08-01,10.066494504833333
1981-09-01,9.631344162666666
1981-10-01,9.1961938205
1981-11-01,8.761043478333335
1981-12-01,8.325893136166666
1982-01-01,7.890742794
1982-02-01,8.2221876695
1982-03-01,8.553632545000001
1982-04-01,8.8850774205
1982-05-01,9.216522296
1982-06-01,9.5479671715
1982-07-01,9.879412047
1982-08-01,10.2108569225
1982-09-01,10.542301798
1982-10-01,10.8737466735
1982-11-01,11.205191549
1982-12-01,11.5366364245
1983-01-01,11.8680813
1983-02-01,11.572316784916667
1983-03-01,11.276552269833333
1983-04-01,10.98078775475
1983-05-01,10.685023239666666
1983-06-01,10.389258724583334
1983-07-01,10.093494209500001
1983-08-01,9.797729694416667
1983-09-01,9.501965179333334
1983-10-01,9.20620066425
1983-11-01,8.910436149166667
1983-12-01,8.614671634083333
1984-01-01,8.318907119
1984-02-01,8.08870021175
1984-03-01,7.8584933045000005
1984-04-01,7.62828639725
1984-05-01,7.398079490000001
1984-06-01,7.16787258275
1984-07-01,6.9376656755
1984-08-01,6.70745876825
1984-09-01,6.477251861
1984-10-01,6.247044953750001
1984-11-01,6.0168380465
1984-12-01,5.78663113925
1985-01-01,5.556424232
1985-02-01,5.820865606583333
1985-03-01,6.085306981166667
1985-04-01,6.34974835575
1985-05-01,6.614189730333334
1985-06-01,6.878631104916667
1985-07-01,7.143072479500001
1985-08-01,7.407513854083334
1985-09-01,7.671955228666667
1985-10-01,7.93639660325
1985-11-01,8.200837977833334
1985-12-01,8.465279352416667
1986-01-01,8.729720727
1986-02-01,8.735671150833333
1986-03-01,8.741621574666667
1986-04-01,8.7475719985
1986-05-01,8.753522422333333
1986-06-01,8.759472846166666
1986-07-01,8.76542327
1986-08-01,8.771373693833334
1986-09-01,8.777324117666668
1986-10-01,8.7832745415
1986-11-01,8.789224965333334
1986-12-01,8.795175389166667
1987-01-01,8.801125813
1987-02-01,8.849654650416667
1987-03-01,8.898183487833334
1987-04-01,8.946712325250001
1987-05-01,8.995241162666668
1987-06-01,9.043770000083335
1987-07-01,9.0922988375
1987-08-01,9.140827674916666
1987-09-01,9.189356512333333
1987-10-01,9.23788534975
1987-11-01,9.286414187166667
1987-12-01,9.334943024583334
1988-01-01,9.383471862
1988-02-01,9.19103920925
1988-03-01,8.9986065565
1988-04-01,8.80617390375
1988-05-01,8.613741251
1988-06-01,8.42130859825
1988-07-01,8.2288759455
1988-08-01,8.03644329275
1988-09-01,7.84401064
1988-10-01,7.65157798725
1988-11-01,7.4591453345
1988-12-01,7.26671268175
1989-01-01,7.074280029
1989-02-01,7.232359401833333
1989-03-01,7.390438774666666
1989-04-01,7.548518147499999
1989-05-01,7.706597520333333
1989-06-01,7.864676893166666
1989-07-01,8.022756266
1989-08-01,8.180835638833333
1989-09-01,8.338915011666666
1989-10-01,8.496994384499999
1989-11-01,8.655073757333334
1989-12-01,8.813153130166667
1990-01-01,8.971232503
1990-02-01,9.37948364275
1990-03-01,9.7877347825
1990-04-01,10.19598592225
1990-05-01,10.604237062
1990-06-01,11.01248820175
1990-07-01,11.4207393415
1990-08-01,11.82899048125
1990-09-01,12.237241621
1990-10-01,12.64549276075
1990-11-01,13.0537439005
1990-12-01,13.46199504025
1991-01-01,13.87024618
1991-02-01,13.696710418333334
1991-03-01,13.523174656666667
1991-04-01,13.349638895
1991-05-01,13.176103133333333
1991-06-01,13.002567371666666
1991-07-01,12.829031610000001
1991-08-01,12.655495848333334
1991-09-01,12.481960086666668
1991-10-01,12.308424325
1991-11-01,12.134888563333334
